Protein.Group,Protein.Names,Genes,First.Protein.Description,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_1.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_2.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_3.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_4.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_5.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_6.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_7.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_8.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_9.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_10.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_11.raw,D:\20240821_Eclipse_TS25_GrekaLab_MRK\20240821_Eclipse_TS25_GrekaLab_MRK_Sample_12.raw
A4D1E9,GTPBA_HUMAN,GTPBP10,GTP-binding protein 10,,,,,404810,370994,470416,336137,243046,230831,373009,290577
A4D1U4,DEN11_HUMAN,DENND11,DENN domain-containing protein 11,,,,,110760,136199,120358,158728,107211,95085.3,125014,124555
A5PLN7,F149A_HUMAN,FAM149A,Protein FAM149A,,,,,,,27883,,25080.3,,,34769.6
A5YKK6,CNOT1_HUMAN,CNOT1,CCR4-NOT transcription complex subunit 1,1781250,979757,927521,2197770,2269540,4239320,5760200,5436470,3060980,2123800,1960990,1968060
A6NC98,CC88B_HUMAN,CCDC88B,Coiled-coil domain-containing protein 88B,395847,119596,,,,,,,,,,
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,91582.7,83839.1,,66484,182821,182384,186035,140960,202147,180813,165696,204717
A6NDU8,RIMC1_HUMAN,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,,,,,191509,166551,325064,281727,407279,398924,387059,380628
A6NHR9,SMHD1_HUMAN,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,546594,557849,492561,516058,596992,548076,530912,541096,548953,542369,491929,450896
A6NNL5,CO061_HUMAN,C15orf61,Uncharacterized protein C15orf61,,,,,1055570,935464,1088830,937583,1291510,1302170,1235050,1049190
A7E2V4,ZSWM8_HUMAN,ZSWIM8,Zinc finger SWIM domain-containing protein 8,,,,,598251,529852,484676,379387,,,,
A8CG34,P121C_HUMAN,POM121C,Nuclear envelope pore membrane protein POM 121C,,,,,2253860,2078480,2014450,2279520,1122320,1118950,1256670,1328980
A8K8P3,SFI1_HUMAN,SFI1,Protein SFI1 homolog,,,,,144686,87457,101556,96834.2,,,,
A8MPP1,D11L8_HUMAN,DDX11L8,Putative ATP-dependent RNA helicase DDX11-like protein 8,,,,,383474,327492,695942,291440,,,,
A8MTT3,CEBOS_HUMAN,CEBPZOS,Protein CEBPZOS,,,,,,134599,,,,,,
B0YJ81,HACD1_HUMAN,HACD1,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1,,,,,152558,134097,167702,129065,,130137,102129,
B2RTY4,MYO9A_HUMAN,MYO9A,Unconventional myosin-IXa,,,,,572334,376760,553272,589410,,282787,,183368
B2RXH8;B7ZW38;O60812;P07910;P0DMR1,HNRC1_HUMAN;HNRC2_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN;HNRPC_HUMAN,HNRNPC;HNRNPCL1;HNRNPCL2;HNRNPCL3;HNRNPCL4,Heterogeneous nuclear ribonucleoprotein C-like 2,1140150,848614,781652,771711,1905250,766839,2066490,1009830,654805,1159670,886869,778416
B5ME19;Q99613,EIF3C_HUMAN;EIFCL_HUMAN,EIF3C;EIF3CL,Eukaryotic translation initiation factor 3 subunit C-like protein,7031490,6205260,5737500,5453550,7559920,6279920,6597150,6011820,6257640,6259480,6141330,5638430
B7ZAQ6;P0CG08,GPHRA_HUMAN;GPHRB_HUMAN,GPR89A;GPR89B,Golgi pH regulator A,,,,,7989440,6440400,6160970,6639260,28706600,31479600,28006900,26975200
B9A064,IGLL5_HUMAN,IGLL5,Immunoglobulin lambda-like polypeptide 5,5739400,5249480,4437360,4563050,3691730,3047690,4423470,3976830,1673950,2083460,2213320,2011660
E9PAV3,NACAM_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",,1612410,1410870,1510860,3818590,4192370,3396540,3305070,3851970,4386470,4163590,3504930
E9PQ53;O95298,NDUC2_HUMAN;NDUCR_HUMAN,NDUFC2;NDUFC2-KCTD14,"NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2",,,,,87744.1,80758.8,81540.9,,96581.5,112804,62002.6,65642.3
F2Z333,FND10_HUMAN,FNDC10,Fibronectin type III domain-containing protein 10,,,,,88691.4,,,,240219,249830,194071,175724
G9CGD6;Q6P9H4,CNIPF_HUMAN;CNKR3_HUMAN,CNK3/IPCEF1;CNKSR3,CNK3/IPCEF1 fusion protein,,,,,125976,143228,189330,133342,217411,230802,218569,183488
O00116,ADAS_HUMAN,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",,,,,3338500,2482750,2887430,2116080,1981250,,,
O00124,UBXN8_HUMAN,UBXN8,UBX domain-containing protein 8,,,,,175310,189071,133492,280208,285985,301429,372670,556334
O00139,KIF2A_HUMAN,KIF2A,Kinesin-like protein KIF2A,954646,735352,633530,654805,972067,1060310,1040980,938478,793063,1071900,790968,753262
O00148,DX39A_HUMAN,DDX39A,ATP-dependent RNA helicase DDX39A,5829070,6090640,6550940,5251020,11028400,10507000,10101700,8887710,7096450,6765240,6416000,6492700
O00154,BACH_HUMAN,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,113506,151021,127013,125613,249383,218569,203166,181956,237066,227667,208223,148406
O00165,HAX1_HUMAN,HAX1,HCLS1-associated protein X-1,1500920,2676790,1990680,1422220,18953800,21209100,19473000,18662800,12290800,11808600,11078500,8238520
O00189,AP4M1_HUMAN,AP4M1,AP-4 complex subunit mu-1,,,,,,75849.4,80845.2,40913.3,48242.9,,69261,
O00203;Q13367,AP3B1_HUMAN;AP3B2_HUMAN,AP3B1;AP3B2,AP-3 complex subunit beta-1,,,,,,170027,126356,179333,,107708,,
O00213;Q92870,APBB1_HUMAN;APBB2_HUMAN,APBB1;APBB2,Amyloid beta precursor protein binding family B member 1,,,,,163503,150004,,,,,,
O00217,NDUS8_HUMAN,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",432837,417194,651232,377480,12330500,12947500,12705100,12452900,4513900,4994410,4721760,4676240
O00231,PSD11_HUMAN,PSMD11,26S proteasome non-ATPase regulatory subunit 11,425940000,396163000,365153000,307458000,449471000,464225000,414928000,320075000,515106000,494607000,453883000,501481000
O00232,PSD12_HUMAN,PSMD12,26S proteasome non-ATPase regulatory subunit 12,212650,160702,170300,128532,188311,217702,239015,207669,206774,231302,237909,253198
O00233,PSMD9_HUMAN,PSMD9,26S proteasome non-ATPase regulatory subunit 9,163395,344546,342384,412995,481911,460403,534515,523321,460505,429658,466264,465281
O00238,BMR1B_HUMAN,BMPR1B,Bone morphogenetic protein receptor type-1B,,,,,,36202.3,,,128462,,90610.6,105782
O00255,MEN1_HUMAN,MEN1,Menin,,,,,104890,108548,162940,128789,125740,,167885,185712
O00264,PGRC1_HUMAN,PGRMC1,Membrane-associated progesterone receptor component 1,1297680,1801890,1310660,1345350,24473000,23638600,20784400,18307300,21086000,21488400,21318400,19327500
O00267,SPT5H_HUMAN,SUPT5H,Transcription elongation factor SPT5,588891,645875,703208,714308,710075,654168,729424,643547,712854,674168,605366,633140
O00299,CLIC1_HUMAN,CLIC1,Chloride intracellular channel protein 1,1337670,1690420,1521070,1650540,1131030,1215090,1063410,1471080,1427490,1409290,1478160,1293260
O00303,EIF3F_HUMAN,EIF3F,Eukaryotic translation initiation factor 3 subunit F,2258380,1819030,1952590,2127370,3376390,3373010,2825440,3352570,3646870,3312660,2510900,3207110
O00311,CDC7_HUMAN,CDC7,Cell division cycle 7-related protein kinase,264046,274543,178829,276694,2824810,2556010,3126240,2744230,2344410,2599290,2366580,2576300
O00329,PK3CD_HUMAN,PIK3CD,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",152136,246898,215203,261877,473284,365234,334746,355078,273540,147379,304742,252296
O00330,ODPX_HUMAN,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",,,,,722347,729058,784177,800816,531979,386689,445532,479881
O00339,MATN2_HUMAN,MATN2,Matrilin-2,,,,,,,,,689189,652939,598506,734355
O00391,QSOX1_HUMAN,QSOX1,Sulfhydryl oxidase 1,1510660,1237910,2224860,1306630,2237100,2415740,2147460,2931450,4751800,4833680,5328650,6039460
O00400,ACATN_HUMAN,SLC33A1,Acetyl-coenzyme A transporter 1,,,,,181399,207193,326474,280806,707194,845658,809016,805211
O00410,IPO5_HUMAN,IPO5,Importin-5,785347,1194280,1201010,1042430,3206740,3251390,3424550,3045350,3864990,3491710,4012140,3285260
O00411,RPOM_HUMAN,POLRMT,"DNA-directed RNA polymerase, mitochondrial",,,,,806899,756110,849194,638428,569283,566772,677716,595089
O00429,DNM1L_HUMAN,DNM1L,Dynamin-1-like protein,1171290,1117910,1077300,1046950,1250720,1155990,1229590,1077920,1204540,1066270,1090150,955876
O00443,P3C2A_HUMAN,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,,,,,276760,378660,421907,263631,634576,735755,666749,601291
O00458,IFRD1_HUMAN,IFRD1,Interferon-related developmental regulator 1,244242,145381,,108459,285604,323109,402544,301536,518555,516469,586446,580068
O00459,P85B_HUMAN,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,,,,,404397,432674,462809,417378,81554,159129,183073,169438
O00461,GOLI4_HUMAN,GOLIM4,Golgi integral membrane protein 4,,,,,929704,920861,806023,910485,1982310,2175560,2065530,2303090
O00468,AGRIN_HUMAN,AGRN,Agrin,,,,,689902,740471,716060,548061,746102,812278,651430,765296
O00469,PLOD2_HUMAN,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",,,178290,245386,1623520,1293550,1453850,1500200,2873840,2803610,2758530,2560980
O00471,EXOC5_HUMAN,EXOC5,Exocyst complex component 5,,,266766,,1747390,1932140,2212780,1871910,1863970,1893070,1819290,1926640
O00483,NDUA4_HUMAN,NDUFA4,Cytochrome c oxidase subunit NDUFA4,4832150,4559270,3324910,3692690,32361900,29072000,33576700,28319500,26000000,27178000,26627500,25744000
O00487,PSDE_HUMAN,PSMD14,26S proteasome non-ATPase regulatory subunit 14,,,,220594,243390,214213,279264,210762,,,,
O00488,ZN593_HUMAN,ZNF593,Zinc finger protein 593,5355020,4994790,4461880,4677620,5424470,4858110,6431930,4920790,6040690,7165200,6568000,7788400
O00505,IMA4_HUMAN,KPNA3,Importin subunit alpha-4,82547.3,97907.1,84971.6,100681,188416,161157,232378,249424,168077,171057,151888,156741
O00541,PESC_HUMAN,PES1,Pescadillo homolog,121374,132754,125504,168686,165992,138196,214230,178710,163736,225372,143480,176863
O00567,NOP56_HUMAN,NOP56,Nucleolar protein 56,1631130,1420480,1384600,1293190,2717200,2779550,2342120,2282390,5926290,5813140,4839060,4955650
O00571,DDX3X_HUMAN,DDX3X,ATP-dependent RNA helicase DDX3X,32389600,32995500,31423300,25479000,34935800,33230100,36131400,30684200,29054400,30513700,31637800,26979700
O00592,PODXL_HUMAN,PODXL,Podocalyxin,,,,,,,,,,,99647.4,41835.3
O00622,CCN1_HUMAN,CCN1,CCN family member 1,,,,,,,,,1597400,1768060,1570270,1836790
O00623,PEX12_HUMAN,PEX12,Peroxisome assembly protein 12,,,,,622963,572522,493513,,379117,345344,289037,
O00629,IMA3_HUMAN,KPNA4,Importin subunit alpha-3,,,,,,48064.4,,,46330.5,54326,,
O00743,PPP6_HUMAN,PPP6C,Serine/threonine-protein phosphatase 6 catalytic subunit,1004770,1193370,991331,1141490,4544860,4467710,5053980,4137000,1346690,3316450,3241620,3221610
O00744,WN10B_HUMAN,WNT10B,Protein Wnt-10b,,,,,,,,,430903,313504,409830,428925
O00754,MA2B1_HUMAN,MAN2B1,Lysosomal alpha-mannosidase,,,94836,,113545,139999,241496,254547,335832,339533,365487,332119
O00764,PDXK_HUMAN,PDXK,Pyridoxal kinase,221085,175823,160376,172876,132641,155078,208892,198416,138704,215234,151931,258916
O00767,SCD_HUMAN,SCD,Stearoyl-CoA desaturase,4425680,1768210,2068300,1974760,33640400,30628100,41416000,31773300,23867700,27439000,23826600,26088900
O14497,ARI1A_HUMAN,ARID1A,AT-rich interactive domain-containing protein 1A,1257870,896458,1253190,1026360,331750,610213,1085910,477869,805747,715147,677953,917131
O14521,DHSD_HUMAN,SDHD,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",,,,,,,,,107724,147782,114506,
O14523,C2C2L_HUMAN,C2CD2L,Phospholipid transfer protein C2CD2L,,,,,,74612.5,,60454.3,,91708.9,74250.6,50211.8
O14524,NEMP1_HUMAN,NEMP1,Nuclear envelope integral membrane protein 1,,,,,4630590,4296140,4046390,3538730,27292500,28042900,25279800,24309100
O14545,TRAD1_HUMAN,TRAFD1,TRAF-type zinc finger domain-containing protein 1,827485,775963,617076,714383,8231730,7824400,9611490,7643700,5500670,6642950,5852060,6113060
O14548,COX7R_HUMAN,COX7A2L,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",,,,,135889,108802,162821,106424,76185.7,94122,83873.8,86199.1
O14578,CTRO_HUMAN,CIT,Citron Rho-interacting kinase,434023,,240248,,597558,598314,,405429,,425053,409393,345773
O14579,COPE_HUMAN,COPE,Coatomer subunit epsilon,1124070,1000710,791286,592343,4005930,3848470,4501470,3647440,2979280,2922350,3062080,2798780
O14602;P47813,IF1AX_HUMAN;IF1AY_HUMAN,EIF1AX;EIF1AY,"Eukaryotic translation initiation factor 1A, Y-chromosomal",1507120,1401020,1233820,1393910,1785560,1125920,1920720,1404420,1110210,1111480,1225480,1040350
O14607;O15550,KDM6A_HUMAN;UTY_HUMAN,KDM6A;UTY,Histone demethylase UTY,96661.5,,68223,,,129890,103396,100647,92813.8,,,
O14617,AP3D1_HUMAN,AP3D1,AP-3 complex subunit delta-1,179185,191145,174769,160049,731115,782878,735461,643169,476921,551747,490019,510966
O14641,DVL2_HUMAN,DVL2,Segment polarity protein dishevelled homolog DVL-2,,,,,190619,184797,298124,200727,,,,
O14654,IRS4_HUMAN,IRS4,Insulin receptor substrate 4,906049,1069900,816566,1745230,21037900,21520300,26022700,23665700,8779450,10216300,8873900,9656510
O14656,TOR1A_HUMAN,TOR1A,Torsin-1A,,,,,652872,731876,1103050,,4488150,4186540,4511660,3838420
O14657,TOR1B_HUMAN,TOR1B,Torsin-1B,,,394348,,1095590,1505290,1030600,1140620,2494290,2856680,1610060,3537640
O14672,ADA10_HUMAN,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,,811287,,,1192930,1342050,1318920,1179170,5923800,6095460,5600900,5606500
O14678,ABCD4_HUMAN,ABCD4,Lysosomal cobalamin transporter ABCD4,,,,,59622.5,56885.1,100528,55221.3,141535,206459,166268,146108
O14681,EI24_HUMAN,EI24,Etoposide-induced protein 2.4 homolog,733523,757366,837646,839672,18576500,20434200,16986800,17501100,18958600,17699000,15952900,15745600
O14730,RIOK3_HUMAN,RIOK3,Serine/threonine-protein kinase RIO3,214758,,,,1781290,1796190,2202760,1788850,2131870,2184440,2267610,2286860
O14732,IMPA2_HUMAN,IMPA2,Inositol monophosphatase 2,,,,,699003,568720,675879,428376,369930,485529,228910,196670
O14733,MP2K7_HUMAN,MAP2K7,Dual specificity mitogen-activated protein kinase kinase 7,1555200,1205570,1257430,773166,7246860,7707050,7867560,5704550,7295140,7034020,7175570,6686500
O14734,ACOT8_HUMAN,ACOT8,Acyl-coenzyme A thioesterase 8,835548,989817,528969,751487,15227500,13151000,14742900,12343800,5552420,5939660,5403940,5078040
O14735,CDIPT_HUMAN,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,1562810,1092470,894754,895364,33711100,32893900,28487100,28725900,15182100,16449600,16492400,16795600
O14744,ANM5_HUMAN,PRMT5,Protein arginine N-methyltransferase 5,470060,591340,489194,537438,574051,530886,641398,511709,533944,592668,452057,461623
O14757,CHK1_HUMAN,CHEK1,Serine/threonine-protein kinase Chk1,248703,192330,178240,223355,190383,204077,324286,240507,310737,250713,388406,396881
O14776,TCRG1_HUMAN,TCERG1,Transcription elongation regulator 1,1347620,1461600,1681480,1504260,3229930,3510950,3447840,3149430,1643930,1688420,1723190,2234410
O14777,NDC80_HUMAN,NDC80,Kinetochore protein NDC80 homolog,,,153569,,220902,,252649,,280083,310399,270941,244251
O14786,NRP1_HUMAN,NRP1,Neuropilin-1,,,,,251468,354870,541353,475546,972145,981464,1037240,1020630
O14818,PSA7_HUMAN,PSMA7,Proteasome subunit alpha type-7,1702360,1571320,1334810,1514990,2187360,1949400,2385920,2200650,2605150,2618060,2495850,2468480
O14828,SCAM3_HUMAN,SCAMP3,Secretory carrier-associated membrane protein 3,935077,,803007,457544,8046030,1740980,3955720,3061690,5608830,2294830,1366330,2535040
O14880,MGST3_HUMAN,MGST3,"Glutathione S-transferase 3, mitochondrial",,,,,26424.4,,87634.2,39309.5,31873.5,,,32014.8
O14910,LIN7A_HUMAN,LIN7A,Protein lin-7 homolog A,723174,643667,473986,560678,1349140,1265800,1093520,1141940,1253940,1236090,1230940,1033190
O14920,IKKB_HUMAN,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,315883,447905,354153,293630,680031,593072,774436,615328,441478,576910,506840,442408
O14925,TIM23_HUMAN,TIMM23,Mitochondrial import inner membrane translocase subunit Tim23,,,,,22061500,23556200,22435100,19354900,9597700,9069170,7919410,6992170
O14929,HAT1_HUMAN,HAT1,Histone acetyltransferase type B catalytic subunit,2122270,1245970,,,,3811910,2302580,2319080,2518530,2928580,,
O14939,PLD2_HUMAN,PLD2,Phospholipase D2,,,,,135582,,,,,,,
O14949,QCR8_HUMAN,UQCRQ,Cytochrome b-c1 complex subunit 8,1806070,,,,12315600,10931900,7831630,5115480,10454600,9457430,10289800,7681560
O14950;P19105,ML12A_HUMAN;ML12B_HUMAN,MYL12A;MYL12B,Myosin regulatory light chain 12B,587430,702062,591050,653682,1080400,775086,917766,860914,797012,588224,634583,666283
O14964,HGS_HUMAN,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,45534.1,,36508.7,,,,45409.4,,,,46658.6,
O14965,AURKA_HUMAN,AURKA,Aurora kinase A,,,532771,,1731410,1303920,1512280,1410130,,,,
O14966,RAB7L_HUMAN,RAB29,Ras-related protein Rab-7L1,,,,,1168310,1206250,1162160,1134660,1052470,728316,1016630,
O14967,CLGN_HUMAN,CLGN,Calmegin,,,,,3935370,3627110,3583240,3265340,15548600,14460200,14677400,13599300
O14974,MYPT1_HUMAN,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,212424,214444,133096,177605,156243,189743,233569,180213,226948,207300,208476,179749
O14976,GAK_HUMAN,GAK,Cyclin-G-associated kinase,,,,,681824,378775,,,580030,612892,541472,505998
O14980,XPO1_HUMAN,XPO1,Exportin-1,3493250,3478840,3257410,3341290,24787900,24284500,26394300,24005000,18250600,19355700,18799200,18206000
O14981,BTAF1_HUMAN,BTAF1,TATA-binding protein-associated factor 172,778909,773426,577136,678748,3559780,3465360,3831560,3177400,5586610,5584030,5630260,5043160
O15027,SC16A_HUMAN,SEC16A,Protein transport protein Sec16A,4748820,4949040,4411830,8463310,5330540,10270500,10227800,8831340,2885210,3510420,2644100,15851400
O15031,PLXB2_HUMAN,PLXNB2,Plexin-B2,,,,,219354,166602,,164464,447912,439953,397136,377780
O15041,SEM3E_HUMAN,SEMA3E,Semaphorin-3E,,,,,,,,,,67593.5,80227.8,67474
O15042,SR140_HUMAN,U2SURP,U2 snRNP-associated SURP motif-containing protein,28316300,26030000,26607200,24308300,21454600,18347100,21481900,21235300,21064200,22493600,21367000,23009700
O15049,N4BP3_HUMAN,N4BP3,NEDD4-binding protein 3,,,,,215995,279464,250429,229852,163091,,,83479.8
O15062,ZBTB5_HUMAN,ZBTB5,Zinc finger and BTB domain-containing protein 5,,,,,165764,206656,224088,219015,,,,
O15067,PUR4_HUMAN,PFAS,Phosphoribosylformylglycinamidine synthase,1170140,1150550,1002860,1294060,1270860,1154140,1158840,1016600,873707,1054180,899777,810281
O15084,ANR28_HUMAN,ANKRD28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,663680,503483,470500,,1713340,1884600,2106650,1724370,1346040,1399940,1388020,1271300
O15091,MRPP3_HUMAN,PRORP,Mitochondrial ribonuclease P catalytic subunit,1977320,1049420,496573,369452,8288040,4714140,3199140,3031290,4062800,2492100,2749240,2505650
O15111,IKKA_HUMAN,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha,1052610,763231,782766,569723,1928340,1842980,1910020,1782620,1213640,1296490,1278950,1311640
O15118,NPC1_HUMAN,NPC1,NPC intracellular cholesterol transporter 1,,,,,,,638588,,4972700,5108210,4464040,4454590
O15120,PLCB_HUMAN,AGPAT2,1-acyl-sn-glycerol-3-phosphate acyltransferase beta,,,,,11694200,11121800,9235880,9849340,10575500,10238700,9828700,9094530
O15123,ANGP2_HUMAN,ANGPT2,Angiopoietin-2,305417,327711,329255,370097,198599,297864,,239831,232313,,307410,245049
O15127,SCAM2_HUMAN,SCAMP2,Secretory carrier-associated membrane protein 2,,,,,,370698,283614,315669,775786,631645,600404,517538
O15144,ARPC2_HUMAN,ARPC2,Actin-related protein 2/3 complex subunit 2,366708,379034,255591,311538,467236,446689,419582,393250,507170,476205,443696,377092
O15145,ARPC3_HUMAN,ARPC3,Actin-related protein 2/3 complex subunit 3,408518,483482,335488,460952,705384,572942,693541,503784,590714,570718,723686,727378
O15160,RPAC1_HUMAN,POLR1C,DNA-directed RNA polymerases I and III subunit RPAC1,,,,,,103736,90453.7,,,,,
O15173,PGRC2_HUMAN,PGRMC2,Membrane-associated progesterone receptor component 2,,,,,1936620,1881080,1933590,1746150,1862070,1536020,1645110,1682000
O15182,CETN3_HUMAN,CETN3,Centrin-3,,,,,,443439,,,,,,
